customer_id,kyc_type,result,fail_reason,completed_at,is_test_data
C00000001,REAL_NAME,PASS,\N,2025-04-30 22:07:13,1
C00000001,FACE,PASS,\N,2025-04-30 22:00:13,1
C00000001,BANK_CARD,PASS,\N,2025-04-30 21:52:13,1
C00000002,REAL_NAME,PASS,\N,2025-01-05 21:57:59,1
C00000002,FACE,PASS,\N,2025-01-05 22:01:59,1
C00000002,BANK_CARD,PASS,\N,2025-01-05 21:56:59,1
C00000003,REAL_NAME,PASS,\N,2025-05-03 22:50:24,1
C00000003,FACE,PASS,\N,2025-05-03 22:58:24,1
C00000003,BANK_CARD,PASS,\N,2025-05-03 22:54:24,1
C00000004,REAL_NAME,PASS,\N,2025-02-05 20:36:21,1
C00000004,FACE,PASS,\N,2025-02-05 20:49:21,1
C00000004,BANK_CARD,PASS,\N,2025-02-05 20:47:21,1
C00000005,REAL_NAME,PASS,\N,2025-04-06 14:09:31,1
C00000005,FACE,PASS,\N,2025-04-06 14:08:31,1
C00000005,BANK_CARD,PASS,\N,2025-04-06 14:02:31,1
C00000006,REAL_NAME,PASS,\N,2025-01-27 13:14:22,1
C00000006,FACE,PASS,\N,2025-01-27 13:02:22,1
C00000006,BANK_CARD,PASS,\N,2025-01-27 13:01:22,1
C00000007,REAL_NAME,PASS,\N,2025-02-28 12:26:20,1
C00000007,FACE,PASS,\N,2025-02-28 12:20:20,1
C00000007,BANK_CARD,PASS,\N,2025-02-28 12:22:20,1
C00000008,REAL_NAME,PASS,\N,2025-02-26 20:34:58,1
C00000008,FACE,PASS,\N,2025-02-26 20:47:58,1
C00000008,BANK_CARD,PASS,\N,2025-02-26 20:35:58,1
C00000009,REAL_NAME,PASS,\N,2025-06-25 21:12:38,1
C00000009,FACE,PASS,\N,2025-06-25 21:08:38,1
C00000009,BANK_CARD,PASS,\N,2025-06-25 21:07:38,1
C00000010,REAL_NAME,PASS,\N,2025-05-26 13:01:54,1
C00000010,FACE,PASS,\N,2025-05-26 12:59:54,1
C00000010,BANK_CARD,PASS,\N,2025-05-26 12:47:54,1
C00000011,REAL_NAME,PASS,\N,2025-04-20 13:21:22,1
C00000011,FACE,PASS,\N,2025-04-20 13:25:22,1
C00000011,BANK_CARD,PASS,\N,2025-04-20 13:13:22,1
C00000012,REAL_NAME,PASS,\N,2025-02-05 23:01:27,1
C00000012,FACE,PASS,\N,2025-02-05 23:02:27,1
C00000012,BANK_CARD,PASS,\N,2025-02-05 22:49:27,1
C00000013,REAL_NAME,FAIL,证件识别失败,2025-01-21 12:44:14,1
C00000013,FACE,FAIL,活体检测未通过,2025-01-21 12:36:14,1
C00000013,BANK_CARD,FAIL,银行卡验证失败,2025-01-21 12:51:14,1
C00000014,REAL_NAME,PASS,\N,2025-01-24 21:11:49,1
C00000014,FACE,PASS,\N,2025-01-24 21:09:49,1
C00000014,BANK_CARD,PASS,\N,2025-01-24 21:02:49,1
