customer_id,device_id,element_id,element_text,page_path,click_time,is_test_data
C00000001,D00000001,tab_home,取消,/loan/history,2025-05-24 21:50:03,1
C00000002,D00000002,btn_apply,点我,/promo/list,2025-03-29 09:40:19,1
C00000003,D00000003,banner_promo,确认,/promo/list,2025-05-29 12:19:46,1
C00000003,D00000003,tab_home,确认,/product/list,2025-05-09 12:20:16,1
C00000003,D00000003,btn_login,点我,/loan/history,2025-05-08 00:55:06,1
C00000004,D00000004,banner_promo,取消,/promo/list,2025-02-10 13:08:47,1
C00000004,D00000004,tab_home,确认,/promo/list,2025-05-13 01:16:04,1
C00000004,D00000004,btn_repay,点我,/profile,2025-02-08 21:48:22,1
C00000004,D00000004,btn_apply,点我,/loan/history,2025-06-17 22:15:23,1
C00000004,D00000004,tab_home,取消,/help,2025-04-11 20:42:09,1
C00000004,D00000004,btn_login,点我,/loan/repay,2025-04-19 17:22:20,1
C00000004,D00000004,btn_confirm,取消,/apply,2025-04-22 13:19:33,1
C00000004,D00000004,btn_login,取消,/kyc,2025-03-22 20:04:50,1
C00000004,D00000004,btn_apply,取消,/home,2025-03-21 21:09:13,1
C00000004,D00000004,btn_confirm,确认,/product/detail,2025-05-30 07:01:18,1
C00000004,D00000004,btn_apply,取消,/kyc,2025-05-01 22:40:01,1
C00000005,D00000005,link_help,点我,/apply,2025-05-01 15:05:49,1
C00000005,D00000005,link_help,取消,/home,2025-06-01 21:38:36,1
C00000005,D00000005,banner_promo,取消,/kyc,2025-05-13 22:55:27,1
C00000005,D00000005,banner_promo,点我,/profile,2025-04-28 14:48:01,1
C00000005,D00000005,link_help,点我,/loan/repay,2025-05-29 21:16:17,1
C00000005,D00000005,tab_product,确认,/profile,2025-04-23 20:03:50,1
C00000005,D00000005,tab_product,取消,/loan/repay,2025-04-28 12:46:45,1
C00000005,D00000005,tab_home,点我,/product/list,2025-06-16 13:03:33,1
C00000006,D00000006,tab_home,确认,/apply,2025-03-30 21:11:03,1
C00000006,D00000006,banner_promo,确认,/product/list,2025-02-02 12:39:27,1
C00000006,D00000006,btn_login,取消,/loan/history,2025-05-06 09:41:23,1
C00000006,D00000006,btn_login,确认,/product/list,2025-04-05 07:15:50,1
C00000006,D00000006,btn_repay,确认,/help,2025-02-02 22:48:59,1
C00000006,D00000006,btn_login,取消,/product/detail,2025-04-24 19:52:56,1
C00000006,D00000006,link_help,取消,/promo/list,2025-03-02 21:30:26,1
C00000006,D00000006,btn_apply,确认,/apply,2025-03-19 18:37:32,1
C00000006,D00000006,btn_login,确认,/loan/history,2025-02-26 13:55:49,1
C00000006,D00000006,btn_confirm,点我,/product/detail,2025-02-18 13:41:40,1
C00000006,D00000006,btn_apply,确认,/promo/list,2025-03-27 11:09:22,1
C00000006,D00000006,tab_home,点我,/profile,2025-05-03 13:24:47,1
C00000006,D00000006,tab_home,点我,/product/detail,2025-04-29 20:13:50,1
C00000006,D00000006,link_help,取消,/home,2025-01-31 15:55:20,1
C00000006,D00000006,btn_login,点我,/product/detail,2025-01-30 16:35:05,1
C00000007,D00000007,btn_login,确认,/profile,2025-03-28 15:55:44,1
C00000009,D00000009,btn_confirm,取消,/kyc,2025-06-28 09:29:07,1
